cities,lat,lng,aqi,category,dominant_pollutant
Los Gatos,37.235807799999996,-121.96237509999999,47,Good air quality,pm25
Loyalton,39.67629360000001,-120.2410385,54,Moderate air quality,pm25
Lynwood,33.930293,-118.21146029999998,66,Moderate air quality,pm25
Madera,36.961335600000005,-120.0607176,83,Moderate air quality,pm25
Malibu,34.025921600000004,-118.7797571,40,Good air quality,pm25
Mammoth Lakes,37.648546,-118.97207900000001,24,Good air quality,o3
Manhattan Beach,33.884736100000005,-118.41090890000001,58,Moderate air quality,pm25
Manteca,37.797427299999995,-121.21605259999998,74,Moderate air quality,pm25
Maricopa,35.058858,-119.40095090000001,67,Moderate air quality,pm25
Marina,36.68440289999999,-121.802173,52,Moderate air quality,pm25
Martinez,38.0193657,-122.1341321,58,Moderate air quality,pm25
Marysville,39.145725299999995,-121.5913547,65,Moderate air quality,pm25
Maywood,33.9866807,-118.185349,69,Moderate air quality,pm25
McFarland,35.6780104,-119.22927479999998,108,Unhealthy for sensitive groups air quality,pm25
Mendota,36.753561100000006,-120.3815574,71,Moderate air quality,pm25
Menifee,33.6971468,-117.185294,36,Good air quality,o3
Menlo Park,37.4529598,-122.1817252,60,Moderate air quality,pm25
Merced,37.3021632,-120.48296770000002,63,Moderate air quality,pm25
Mill Valley,37.906036799999995,-122.5449763,53,Moderate air quality,pm25
Millbrae,37.5985468,-122.38719420000001,59,Moderate air quality,pm25
Milpitas,37.4323341,-121.8995741,52,Moderate air quality,pm25
Mission Viejo,33.596891299999996,-117.6581562,53,Moderate air quality,pm25
Modesto,37.63909719999999,-120.99687820000001,77,Moderate air quality,pm25
Monrovia,34.14426160000001,-118.0019482,63,Moderate air quality,pm25
Montague,41.7281985,-122.5278007,46,Good air quality,pm25
Montclair,34.0775104,-117.68977759999999,60,Moderate air quality,pm25
Monte Sereno,37.23633299999999,-121.99245800000001,43,Good air quality,pm25
Montebello,34.0165053,-118.11375349999999,58,Moderate air quality,pm25
Monterey,36.600237799999995,-121.8946761,60,Moderate air quality,pm25
Monterey Park,34.0625106,-118.1228476,66,Moderate air quality,pm25
Moorpark,34.285558,-118.8820414,58,Moderate air quality,pm25
Moraga,37.8349263,-122.1296871,29,Good air quality,pm25
Moreno Valley,33.9424658,-117.2296717,64,Moderate air quality,pm25
Morgan Hill,37.130501200000005,-121.65439009999999,53,Moderate air quality,pm25
Morro Bay,35.3659445,-120.8499924,22,Good air quality,o3
Mount Shasta,41.30987460000001,-122.3105666,37,Good air quality,pm25
Mountain View,37.3860517,-122.08385109999999,61,Moderate air quality,pm25
Murrieta,33.553914299999995,-117.21392320000001,39,Good air quality,o3
Napa,38.2975381,-122.28686499999999,55,Moderate air quality,pm25
National City,32.6781085,-117.0991967,82,Moderate air quality,pm25
Needles,34.8480597,-114.6141315,63,Moderate air quality,pm25
Nevada City,39.2615606,-121.0160594,29,Good air quality,o3
Newark,37.5296593,-122.0402399,31,Good air quality,pm25
Newman,37.31382670000001,-121.02076140000001,57,Moderate air quality,pm25
Newport Beach,33.618882899999996,-117.9298493,47,Good air quality,pm25
Norco,33.9311257,-117.54866100000001,55,Moderate air quality,pm25
Norwalk,33.9022367,-118.08173300000001,64,Moderate air quality,pm25
Novato,38.107419799999995,-122.5697032,57,Moderate air quality,pm25
Oakdale,37.766594700000006,-120.84715449999999,71,Moderate air quality,pm25
Oakland,37.8043637,-122.27111370000002,67,Moderate air quality,pm25
Oakley,37.9974219,-121.71245359999999,61,Moderate air quality,pm25
Oceanside,33.1958696,-117.3794834,59,Moderate air quality,pm25
Ojai,34.448049499999996,-119.24288899999999,53,Moderate air quality,pm25
Ontario,34.0633443,-117.65088759999999,59,Moderate air quality,pm25
Orange,33.7879139,-117.8531007,61,Moderate air quality,pm25
Orange Cove,36.624394,-119.3137301,79,Moderate air quality,pm25
Orinda,37.8771476,-122.17968880000001,51,Moderate air quality,pm25
Orland,39.747380299999996,-122.19637479999999,34,Good air quality,pm25
Oroville,39.513775200000005,-121.55635900000001,45,Good air quality,pm25
Oxnard,34.1975048,-119.17705159999998,61,Moderate air quality,pm25
Pacific Grove,36.6177374,-121.9166215,45,Good air quality,pm25
Pacifica,37.613825299999995,-122.48691940000002,39,Good air quality,pm25
Palm Desert,33.7222445,-116.37445559999999,55,Moderate air quality,pm25
Palm Springs,33.8302961,-116.54529209999998,49,Good air quality,pm25
Palmdale,34.5794343,-118.11646129999998,47,Good air quality,pm25
Palo Alto,37.441883399999995,-122.14301950000001,57,Moderate air quality,pm25
Palos Verdes Estates,33.800571399999995,-118.3900737,45,Good air quality,pm25
Paradise,39.7596061,-121.62191770000001,30,Good air quality,pm25
Paramount,33.8894598,-118.15979109999998,39,Good air quality,pm25
Parlier,36.6116174,-119.52707340000002,76,Moderate air quality,pm25
Pasadena,34.1477849,-118.1445155,66,Moderate air quality,pm25
Paso Robles,35.6368759,-120.65450220000001,25,Good air quality,o3
Patterson,37.471600099999996,-121.12965600000001,62,Moderate air quality,pm25
Perris,33.7825194,-117.22864779999999,62,Moderate air quality,pm25
Petaluma,38.232417,-122.6366524,57,Moderate air quality,pm25
Pico Rivera,33.9830688,-118.09673500000001,60,Moderate air quality,pm25
Piedmont,37.824371500000005,-122.23163500000001,31,Good air quality,pm25
Pinole,38.0043667,-122.29885870000001,55,Moderate air quality,pm25
Pismo Beach,35.1427533,-120.6412827,44,Good air quality,pm25
Pittsburg,38.027976200000005,-121.88468059999998,61,Moderate air quality,pm25
Placentia,33.8710729,-117.86275479999999,59,Moderate air quality,pm25
Placerville,38.7296252,-120.798546,38,Good air quality,pm25
Pleasant Hill,37.9479786,-122.06079629999999,56,Moderate air quality,pm25
Pleasanton,37.6624312,-121.8746789,52,Moderate air quality,pm25
Plymouth,38.4818531,-120.84465900000001,34,Good air quality,pm25
Point Arena,38.908798,-123.69307260000001,36,Good air quality,pm25
Pomona,34.055103,-117.7499909,65,Moderate air quality,pm25
Port Hueneme,34.147782899999996,-119.1951074,55,Moderate air quality,pm25
Porterville,36.06523,-119.0167679,115,Unhealthy for sensitive groups air quality,pm25
Portola,39.8104567,-120.4691034,71,Moderate air quality,pm25
Portola Valley,37.3841066,-122.23524429999999,35,Good air quality,pm25
Poway,32.9628232,-117.0358646,39,Good air quality,pm25
Rancho Cordova,38.5890723,-121.302728,55,Moderate air quality,pm25
Rancho Cucamonga,34.10639889999999,-117.5931084,51,Moderate air quality,pm25
Rancho Mirage,33.739744,-116.41278999999999,38,Good air quality,o3
Rancho Palos Verdes,33.7444613,-118.3870173,39,Good air quality,pm25
Rancho Santa Margarita,33.640171,-117.602832,44,Good air quality,pm25
Red Bluff,40.1784886,-122.23583020000001,44,Good air quality,pm25
Redding,40.5865396,-122.3916754,86,Moderate air quality,pm25
Redlands,34.055569299999995,-117.1825381,69,Moderate air quality,pm25
Redondo Beach,33.8491816,-118.3884078,63,Moderate air quality,pm25
Redwood City,37.485215200000006,-122.2363548,54,Moderate air quality,pm25
Reedley,36.5963395,-119.45040290000001,79,Moderate air quality,pm25
Rialto,34.1064001,-117.37032350000001,66,Moderate air quality,pm25
Richmond,37.9357576,-122.3477486,64,Moderate air quality,pm25
Ridgecrest,35.6224561,-117.6708966,49,Good air quality,pm25
Rio Dell,40.4993013,-124.10643689999999,26,Good air quality,o3
Rio Vista,38.15575020000001,-121.6913439,55,Moderate air quality,pm25
Ripon,37.7394537,-121.13541409999998,56,Moderate air quality,pm25
Riverbank,37.7360396,-120.9354895,57,Moderate air quality,pm25
Riverside,33.9806005,-117.3754942,76,Moderate air quality,pm25
Rocklin,38.7907339,-121.2357828,59,Moderate air quality,pm25
Rohnert Park,38.3396367,-122.70109840000002,29,Good air quality,o3
Rolling Hills,33.756961499999996,-118.3539613,39,Good air quality,pm25
Rolling Hills Estates,33.787794299999995,-118.3581284,53,Moderate air quality,pm25
Rosemead,34.0805651,-118.072846,64,Moderate air quality,pm25
Roseville,38.752123499999996,-121.28800590000002,57,Moderate air quality,pm25
Ross,37.9624239,-122.55497749999999,37,Good air quality,pm25
Sacramento,38.5815719,-121.49439960000001,63,Moderate air quality,pm25
St. Helena,38.5052429,-122.4703868,38,Good air quality,pm25
Salinas,36.6777372,-121.6555013,58,Moderate air quality,pm25
San Anselmo,37.9746458,-122.56164479999998,37,Good air quality,pm25
San Bernardino,34.1083449,-117.2897652,62,Moderate air quality,pm25
San Bruno,37.6304904,-122.41108349999999,65,Moderate air quality,pm25
San Carlos,37.5071591,-122.26052220000001,58,Moderate air quality,pm25
San Clemente,33.4273521,-117.61260039999999,56,Moderate air quality,pm25
San Diego,32.715738,-117.1610838,84,Moderate air quality,pm25
San Dimas,34.1066756,-117.8067257,63,Moderate air quality,pm25
San Fernando,34.2819461,-118.4389719,65,Moderate air quality,pm25
San Francisco,37.7749295,-122.4194155,65,Moderate air quality,pm25
San Gabriel,34.09611110000001,-118.10583329999999,63,Moderate air quality,pm25
San Jacinto,33.783908399999994,-116.95863500000002,61,Moderate air quality,pm25
San Joaquin,36.6066162,-120.1890447,64,Moderate air quality,pm25
San Jose,37.338208200000004,-121.88632859999998,58,Moderate air quality,pm25
San Juan Bautista,36.84551079999999,-121.53799740000002,23,Good air quality,o3
San Juan Capistrano,33.5019027,-117.6627655,61,Moderate air quality,pm25
San Leandro,37.7249296,-122.1560768,51,Moderate air quality,pm25
San Luis Obispo,35.2827524,-120.6596156,20,Good air quality,o3
San Marcos,33.1433723,-117.1661449,47,Good air quality,pm25
San Marino,34.121396999999995,-118.1064585,63,Moderate air quality,pm25
San Mateo,37.562991700000005,-122.32552539999999,66,Moderate air quality,pm25
San Pablo,37.96214570000001,-122.3455263,61,Moderate air quality,pm25
San Rafael,37.9735346,-122.5310874,59,Moderate air quality,pm25
San Ramon,37.7799273,-121.9780153,53,Moderate air quality,pm25
Sand City,36.6171819,-121.8482855,25,Good air quality,pm25
Sanger,36.708006,-119.5559652,73,Moderate air quality,pm25
Santa Ana,33.7454725,-117.867653,68,Moderate air quality,pm25
Santa Barbara,34.4208305,-119.69819009999999,57,Moderate air quality,pm25
Santa Clara,37.354107899999995,-121.9552356,56,Moderate air quality,pm25
Santa Clarita,34.3916641,-118.54258600000001,30,Good air quality,o3
Santa Cruz,36.9741171,-122.0307963,56,Moderate air quality,pm25
Santa Fe Springs,33.9472359,-118.08534509999998,58,Moderate air quality,pm25
Santa Maria,34.953033700000006,-120.43571909999999,47,Good air quality,pm25
Santa Monica,34.01945429999999,-118.4911912,73,Moderate air quality,pm25
Santa Paula,34.3541659,-119.05927050000001,58,Moderate air quality,pm25
Santa Rosa,38.440428999999995,-122.7140548,57,Moderate air quality,pm25
Santee,32.8383828,-116.97391670000002,60,Moderate air quality,pm25
Saratoga,37.2638324,-122.0230146,41,Good air quality,pm25
Sausalito,37.8590937,-122.4852507,44,Good air quality,pm25
Scotts Valley,37.051059499999994,-122.0146841,29,Good air quality,o3
Seal Beach,33.7414085,-118.10476820000001,43,Good air quality,pm25
Seaside,36.614921700000004,-121.822098,46,Good air quality,pm25
Sebastopol,38.4021359,-122.82388059999998,49,Good air quality,pm25
Selma,36.5707838,-119.61207649999999,82,Moderate air quality,pm25
Shafter,35.500513899999994,-119.2717761,105,Unhealthy for sensitive groups air quality,pm25
Shasta Lake,40.6804279,-122.3708419,64,Moderate air quality,pm25
Sierra Madre,34.1616729,-118.0528456,65,Moderate air quality,pm25
Signal Hill,33.8044614,-118.1678456,61,Moderate air quality,pm25
Simi Valley,34.2694474,-118.78148200000001,34,Good air quality,o3
Solana Beach,32.991155,-117.27114809999999,57,Moderate air quality,pm25
Soledad,36.424687,-121.32631869999999,57,Moderate air quality,pm25
Solvang,34.5958201,-120.13764809999999,29,Good air quality,pm25
Sonoma,38.291859,-122.45803559999999,52,Moderate air quality,pm25
Sonora,37.982949600000005,-120.38217240000002,76,Moderate air quality,pm25
South El Monte,34.0519548,-118.04673390000002,63,Moderate air quality,pm25
South Gate,33.954737,-118.21201609999999,67,Moderate air quality,pm25
South Lake Tahoe,38.939926,-119.9771868,34,Good air quality,o3
South Pasadena,34.1161196,-118.15034879999999,66,Moderate air quality,pm25
South San Francisco,37.654656,-122.40774979999999,64,Moderate air quality,pm25
Stanton,33.8028875,-117.9931203,53,Moderate air quality,pm25
Stockton,37.9577016,-121.29077959999998,77,Moderate air quality,pm25
Suisun City,38.2382474,-122.040244,37,Good air quality,pm25
Sunnyvale,37.368829999999996,-122.03634960000001,57,Moderate air quality,pm25
Susanville,40.4162842,-120.6530063,51,Moderate air quality,pm25
Sutter Creek,38.3929675,-120.8024357,57,Moderate air quality,pm25
Taft,35.142467100000005,-119.4565078,75,Moderate air quality,pm25
Tehachapi,35.1321877,-118.44897390000001,51,Moderate air quality,pm25
Tehama,40.0271015,-122.12332279999998,21,Good air quality,pm25
Temecula,33.4936391,-117.14836480000001,53,Moderate air quality,pm25
Temple City,34.1072305,-118.05784560000001,56,Moderate air quality,pm25
Thousand Oaks,34.1705609,-118.83759369999999,60,Moderate air quality,pm25
Tiburon,37.87353770000001,-122.4566392,56,Moderate air quality,pm25
Torrance,33.835849200000006,-118.34062879999999,49,Good air quality,pm25
Tracy,37.7396513,-121.42522269999999,70,Moderate air quality,pm25
Trinidad,41.05929099999999,-124.14312460000001,22,Good air quality,o3
Truckee,39.327962,-120.1832533,53,Moderate air quality,pm25
Tulare,36.20772879999999,-119.3473379,117,Unhealthy for sensitive groups air quality,pm25
Tulelake,41.955988399999995,-121.4774916,52,Moderate air quality,pm25
Turlock,37.494656799999994,-120.84659409999999,82,Moderate air quality,pm25
Tustin,33.7420005,-117.82363909999998,37,Good air quality,pm25
Twentynine Palms,34.135558200000006,-116.05416890000001,45,Good air quality,o3
Ukiah,39.1501709,-123.2077831,61,Moderate air quality,pm25
Union City,37.59339179999999,-122.0438298,47,Good air quality,pm25
Upland,34.09751,-117.64838759999999,57,Moderate air quality,pm25
Vacaville,38.3565773,-121.98774440000001,63,Moderate air quality,pm25
Vallejo,38.1040864,-122.25663670000002,61,Moderate air quality,pm25
Ventura,34.28049229999999,-119.2945199,58,Moderate air quality,pm25
Vernon,34.003903,-118.230073,69,Moderate air quality,pm25
Victorville,34.5362184,-117.29276409999999,58,Moderate air quality,pm25
Villa Park,33.81400620000001,-117.8220723,54,Moderate air quality,pm25
Visalia,36.330228399999996,-119.2920585,117,Unhealthy for sensitive groups air quality,pm25
Vista,33.2000368,-117.2425355,54,Moderate air quality,pm25
Walnut,34.020289399999996,-117.86533859999999,57,Moderate air quality,pm25
Walnut Creek,37.9100783,-122.06518190000001,57,Moderate air quality,pm25
Wasco,35.5941238,-119.34094569999999,90,Moderate air quality,pm25
Waterford,37.6413202,-120.7604834,73,Moderate air quality,pm25
Watsonville,36.910231,-121.7568946,56,Moderate air quality,pm25
Weed,41.42264979999999,-122.38612690000001,61,Moderate air quality,pm25
West Covina,34.0686208,-117.93895259999998,67,Moderate air quality,pm25
West Hollywood,34.0900091,-118.3617443,66,Moderate air quality,pm25
West Sacramento,38.5804609,-121.53023400000001,54,Moderate air quality,pm25
Westlake Village,34.1466467,-118.8073729,40,Good air quality,pm25
Westminster,33.75917570000001,-117.9897058,56,Moderate air quality,pm25
Westmorland,33.0372674,-115.6213817,80,Moderate air quality,pm25
Wheatland,39.0098946,-121.4230133,41,Good air quality,pm25
Whittier,33.97917929999999,-118.032844,60,Moderate air quality,pm25
Wildomar,33.5989126,-117.2800372,35,Good air quality,o3
Williams,39.154613700000006,-122.1494187,68,Moderate air quality,pm25
Willits,39.4096079,-123.35556559999999,44,Good air quality,pm25
Willows,39.5243265,-122.19359309999999,55,Moderate air quality,pm25
Windsor,38.547132700000006,-122.81638020000001,40,Good air quality,pm25
Winters,38.5249065,-121.9708017,56,Moderate air quality,pm25
Woodlake,36.413560499999996,-119.0987176,84,Moderate air quality,pm25
Woodland,38.67851570000001,-121.7732971,71,Moderate air quality,pm25
Woodside,37.429938799999995,-122.2538557,51,Moderate air quality,pm25
Yorba Linda,33.88850350000001,-117.8132571,57,Moderate air quality,pm25
Yountville,38.40157809999999,-122.3608105,30,Good air quality,pm25
Yreka,41.735418599999996,-122.6344709,56,Moderate air quality,pm25
Yuba City,39.1404477,-121.6169108,58,Moderate air quality,pm25
Yucaipa,34.033625,-117.0430865,58,Moderate air quality,pm25
Yucca Valley,34.114174299999995,-116.432235,48,Good air quality,o3
