city,type,county,state,lat,lng,temperature,cloud,pressure,rain,date,wind_speed,uv_index,aqi,category,dominant_pollutant,date_scraped
Los Altos Hills,Town,Santa Clara,california,37.3797,-122.137,48.51,1,1021,0,2018-12-07 17:00:00,1.86,1.94,50,Good air quality,pm25,2018-12-07 08:58:00
Los Angeles,City,Los Angeles,california,34.0522,-118.244,56.71,1,1018,0,2018-12-07 16:58:00,3.1,2.53,61,Moderate air quality,pm25,2018-12-07 08:58:00
Los Banos,City,Merced,california,37.0583,-120.85,46.85,90,1022,0,2018-12-07 16:55:00,2.01,1.97,54,Moderate air quality,pm25,2018-12-07 08:58:00
Los Gatos,Town,Santa Clara,california,37.2358,-121.962,48.49,75,1021,0,2018-12-07 17:00:00,2.1,1.99,54,Moderate air quality,pm25,2018-12-07 08:58:00
Loyalton,City,Sierra,california,39.6763,-120.241,31.21,90,1022,0,2018-12-07 16:55:00,1.46,1.77,41,Good air quality,pm25,2018-12-07 08:58:00
Lynwood,City,Los Angeles,california,33.9303,-118.211,58.39,1,1018,0,2018-12-07 16:58:00,3.1,2.55,59,Moderate air quality,pm25,2018-12-07 08:58:00
Madera,City,Madera,california,36.9613,-120.061,49.03,90,1022,0,2018-12-07 17:00:00,1.86,2.03,79,Moderate air quality,pm25,2018-12-07 08:58:00
Malibu,City,Los Angeles,california,34.0259,-118.78,58.89,20,1019,0,2018-12-07 16:57:00,6.2,2.55,21,Good air quality,pm25,2018-12-07 08:58:00
Mammoth Lakes,Town,Mono,california,37.6485,-118.972,27.32,90,1022,0,2018-12-07 16:55:00,2.6,2.18,53,Moderate air quality,pm25,2018-12-07 08:58:00
Manhattan Beach,City,Los Angeles,california,33.8847,-118.411,57.42,1,1018,0,2018-12-07 16:58:00,3.1,2.56,51,Moderate air quality,pm25,2018-12-07 08:58:00
Manteca,City,San Joaquin,california,37.7974,-121.216,44.98,90,1022,0,2018-12-07 17:02:00,1.96,1.82,79,Moderate air quality,pm25,2018-12-07 08:58:00
Maricopa,City,Kern,california,35.0589,-119.401,48.02,90,1021,0,2018-12-07 16:54:00,2.1,2.4,57,Moderate air quality,pm25,2018-12-07 08:58:00
Marina,City,Monterey,california,36.6844,-121.802,48.54,1,1021,0,2018-12-07 16:55:00,2.1,2.07,54,Moderate air quality,pm25,2018-12-07 08:58:00
Martinez,City,Contra Costa,california,38.0194,-122.134,47.35,1,1022,0,2018-12-07 17:00:00,1.86,1.79,63,Moderate air quality,pm25,2018-12-07 08:58:00
Marysville,City,Yuba,california,39.1457,-121.591,43.52,1,1022,0,2018-12-07 17:15:00,2.71,1.64,67,Moderate air quality,pm25,2018-12-07 08:58:00
Maywood,City,Los Angeles,california,33.9867,-118.185,58.39,1,1018,0,2018-12-07 16:58:00,3.1,2.55,56,Moderate air quality,pm25,2018-12-07 08:58:00
McFarland,City,Kern,california,35.678,-119.229,46.94,90,1021,0.25,2018-12-07 16:56:00,1.81,2.29,79,Moderate air quality,pm25,2018-12-07 08:58:00
Mendota,City,Fresno,california,36.7536,-120.382,48.6,90,1022,0,2018-12-07 17:00:00,1.66,2.02,62,Moderate air quality,pm25,2018-12-07 08:58:00
Menifee,City,Riverside,california,33.6971,-117.185,57.69,1,1019,0.25,2018-12-07 16:58:00,1.5,2.59,17,Good air quality,pm25,2018-12-07 08:58:00
Menlo Park,City,San Mateo,california,37.453,-122.182,48.51,1,1021,0,2018-12-07 17:00:00,1.86,1.94,73,Moderate air quality,pm25,2018-12-07 08:58:00
Merced,City,Merced,california,37.3022,-120.483,47.53,90,1022,0,2018-12-07 16:53:00,2.01,1.93,62,Moderate air quality,pm25,2018-12-07 08:58:00
Mill Valley,City,Marin,california,37.906,-122.545,47.59,1,1022,0,2018-12-07 17:00:00,1.86,1.83,57,Moderate air quality,pm10,2018-12-07 08:58:00
Millbrae,City,San Mateo,california,37.5985,-122.387,48.29,75,1021,0,2018-12-07 17:00:00,1.5,1.88,63,Moderate air quality,pm25,2018-12-07 08:58:00
Milpitas,City,Santa Clara,california,37.4323,-121.9,48.51,75,1021,0,2018-12-07 17:00:00,2.1,1.92,63,Moderate air quality,pm25,2018-12-07 08:58:00
Mission Viejo,City,Orange,california,33.5969,-117.658,58.06,20,1018,0.25,2018-12-07 16:58:00,1.5,2.61,34,Good air quality,pm25,2018-12-07 08:58:00
Modesto,City,Stanislaus,california,37.6391,-120.997,46.0,90,1022,0,2018-12-07 17:02:00,1.96,1.87,83,Moderate air quality,pm25,2018-12-07 08:58:00
Monrovia,City,Los Angeles,california,34.1443,-118.002,56.91,1,1018,0,2018-12-07 17:10:00,3.1,2.53,56,Moderate air quality,pm25,2018-12-07 08:58:00
Montague,City,Siskiyou,california,41.7282,-122.528,25.65,20,1022,0,2018-12-07 16:56:00,1.26,1.37,53,Moderate air quality,pm25,2018-12-07 08:58:00
Montclair,City,San Bernardino,california,34.0775,-117.69,58.51,1,1019,0,2018-12-07 16:58:00,4.1,2.56,51,Moderate air quality,pm25,2018-12-07 08:58:00
Monte Sereno,City,Santa Clara,california,37.2363,-121.992,48.49,75,1021,0,2018-12-07 17:00:00,2.1,1.99,48,Good air quality,pm25,2018-12-07 08:58:00
Montebello,City,Los Angeles,california,34.0165,-118.114,58.78,1,1018,0,2018-12-07 16:58:00,3.6,2.53,42,Good air quality,pm25,2018-12-07 08:58:00
Monterey,City,Monterey,california,36.6002,-121.895,48.52,1,1021,0,2018-12-07 16:55:00,2.1,2.07,60,Moderate air quality,pm25,2018-12-07 08:58:00
Monterey Park,City,Los Angeles,california,34.0625,-118.123,56.71,1,1018,0,2018-12-07 16:58:00,3.6,2.53,51,Moderate air quality,pm25,2018-12-07 08:58:00
Moorpark,City,Ventura,california,34.2856,-118.882,58.8,20,1019,0,2018-12-07 16:57:00,6.2,2.53,47,Good air quality,pm25,2018-12-07 08:58:00
Moraga,Town,Contra Costa,california,37.8349,-122.13,47.43,75,1021,0,2018-12-07 17:00:00,2.6,1.84,43,Good air quality,pm10,2018-12-07 08:58:00
Moreno Valley,City,Riverside,california,33.9425,-117.23,58.26,1,1019,0.25,2018-12-07 17:15:00,5.1,2.55,51,Moderate air quality,pm25,2018-12-07 08:58:00
Morgan Hill,City,Santa Clara,california,37.1305,-121.654,47.26,1,1022,0,2018-12-07 16:56:00,1.51,1.99,57,Moderate air quality,pm25,2018-12-07 08:58:00
Morro Bay,City,San Luis Obispo,california,35.3659,-120.85,50.04,1,1020,0,2018-12-07 16:56:00,1.76,2.35,25,Good air quality,pm25,2018-12-07 08:58:00
Mount Shasta,City,Siskiyou,california,41.3099,-122.311,27.68,1,1021,0,2018-12-07 16:56:00,1.01,1.43,61,Moderate air quality,pm25,2018-12-07 08:58:00
Mountain View,City,Santa Clara,california,37.3861,-122.084,48.51,1,1021,0,2018-12-07 17:00:00,1.51,1.94,68,Moderate air quality,pm25,2018-12-07 08:58:00
Murrieta,City,Riverside,california,33.5539,-117.214,58.15,1,1019,0.25,2018-12-07 17:15:00,2.6,2.59,20,Good air quality,o3,2018-12-07 08:58:00
Napa,City,Napa,california,38.2975,-122.287,45.7,1,1022,0,2018-12-07 16:58:00,3.1,1.76,55,Moderate air quality,pm25,2018-12-07 08:58:00
National City,City,San Diego,california,32.6781,-117.099,60.58,75,1018,0,2018-12-07 16:56:00,1.5,2.74,61,Moderate air quality,pm25,2018-12-07 08:58:00
Needles,City,San Bernardino,california,34.8481,-114.614,53.71,90,1021,0,2018-12-07 16:56:00,5.1,2.27,56,Moderate air quality,pm25,2018-12-07 08:58:00
Nevada City,City,Nevada,california,39.2616,-121.016,45.25,1,1021,0,2018-12-07 17:15:00,3.1,1.68,37,Good air quality,pm25,2018-12-07 08:58:00
Newark,City,Alameda,california,37.5297,-122.04,48.51,1,1021,0,2018-12-07 17:00:00,1.76,1.86,51,Moderate air quality,pm25,2018-12-07 08:58:00
Newman,City,Stanislaus,california,37.3138,-121.021,46.18,90,1022,0,2018-12-07 17:02:00,1.66,1.93,57,Moderate air quality,pm25,2018-12-07 08:58:00
Newport Beach,City,Orange,california,33.6189,-117.93,58.51,20,1018,0,2018-12-07 17:15:00,1.5,2.57,29,Good air quality,pm25,2018-12-07 08:58:00
Norco,City,Riverside,california,33.9311,-117.549,58.93,1,1019,0.25,2018-12-07 16:58:00,4.1,2.56,27,Good air quality,pm25,2018-12-07 08:58:00
Norwalk,City,Los Angeles,california,33.9022,-118.082,57.61,1,1018,0,2018-12-07 16:58:00,3.6,2.55,55,Moderate air quality,pm25,2018-12-07 08:58:00
Novato,City,Marin,california,38.1074,-122.57,47.57,1,1022,0,2018-12-07 17:00:00,1.51,1.79,56,Moderate air quality,pm25,2018-12-07 08:58:00
Oakdale,City,Stanislaus,california,37.7666,-120.847,46.58,90,1022,0,2018-12-07 17:15:00,1.91,1.83,78,Moderate air quality,pm25,2018-12-07 08:58:00
Oakland,City,Alameda,california,37.8044,-122.271,46.89,75,1021,0,2018-12-07 17:00:00,2.6,1.83,61,Moderate air quality,pm25,2018-12-07 08:58:00
Oakley,City,Contra Costa,california,37.9974,-121.712,46.63,1,1022,0,2018-12-07 17:02:00,1.76,1.82,59,Moderate air quality,pm25,2018-12-07 08:58:00
Oceanside,City,San Diego,california,33.1959,-117.379,59.52,1,1019,0.25,2018-12-07 17:15:00,2.6,2.65,52,Moderate air quality,pm25,2018-12-07 08:58:00
Ojai,City,Ventura,california,34.448,-119.243,59.27,1,1019,0,2018-12-07 16:57:00,3.1,2.53,48,Good air quality,pm25,2018-12-07 08:58:00
Ontario,City,San Bernardino,california,34.0633,-117.651,58.6,1,1019,0,2018-12-07 16:58:00,4.1,2.56,51,Moderate air quality,pm25,2018-12-07 08:58:00
Orange,City,Orange,california,33.7879,-117.853,57.22,1,1018,0,2018-12-07 16:58:00,3.6,2.54,52,Moderate air quality,pm25,2018-12-07 08:58:00
Orange Cove,City,Fresno,california,36.6244,-119.314,49.57,90,1022,0.25,2018-12-07 17:09:00,1.46,2.1,63,Moderate air quality,pm25,2018-12-07 08:58:00
Orinda,City,Contra Costa,california,37.8771,-122.18,47.44,1,1022,0,2018-12-07 17:00:00,1.86,1.84,56,Moderate air quality,pm25,2018-12-07 08:58:00
Orland,City,Glenn,california,39.7474,-122.196,42.55,1,1022,0,2018-12-07 16:54:00,3.6,1.57,27,Good air quality,pm25,2018-12-07 08:58:00
Oroville,City,Butte,california,39.5138,-121.556,44.87,1,1022,0,2018-12-07 17:15:00,1.5,1.6,45,Good air quality,pm25,2018-12-07 08:58:00
Oxnard,City,Ventura,california,34.1975,-119.177,59.23,20,1019,0,2018-12-07 16:57:00,6.2,2.52,63,Moderate air quality,pm25,2018-12-07 08:58:00
Pacific Grove,City,Monterey,california,36.6177,-121.917,48.52,1,1021,0,2018-12-07 16:55:00,2.1,2.07,49,Good air quality,pm25,2018-12-07 08:58:00
Pacifica,City,San Mateo,california,37.6138,-122.487,48.29,1,1021,0,2018-12-07 17:00:00,1.86,1.88,57,Moderate air quality,pm10,2018-12-07 08:58:00
Palm Desert,City,Riverside,california,33.7222,-116.374,51.78,90,1019,0,2018-12-07 17:15:00,0.86,2.61,53,Moderate air quality,pm25,2018-12-07 08:58:00
Palm Springs,City,Riverside,california,33.8303,-116.545,53.8,90,1019,0.25,2018-12-07 17:15:00,0.86,2.59,54,Moderate air quality,pm25,2018-12-07 08:58:00
Palmdale,City,Los Angeles,california,34.5794,-118.116,50.07,40,1022,0,2018-12-07 17:13:00,3.6,2.52,37,Good air quality,pm25,2018-12-07 08:58:00
Palo Alto,City,Santa Clara,california,37.4419,-122.143,48.81,1,1021,0,2018-12-07 17:00:00,1.86,1.94,69,Moderate air quality,pm25,2018-12-07 08:58:00
Palos Verdes Estates,City,Los Angeles,california,33.8006,-118.39,58.23,20,1018,0,2018-12-07 16:58:00,2.61,2.56,28,Good air quality,pm25,2018-12-07 08:58:00
Paradise,Town,Butte,california,39.7596,-121.622,42.48,1,1022,0,2018-12-07 16:54:00,1.5,1.62,43,Good air quality,pm25,2018-12-07 08:58:00
Paramount,City,Los Angeles,california,33.8895,-118.16,58.39,1,1018,0,2018-12-07 16:58:00,3.6,2.55,52,Moderate air quality,pm25,2018-12-07 08:58:00
Parlier,City,Fresno,california,36.6116,-119.527,49.57,90,1022,0,2018-12-07 17:09:00,1.46,2.1,62,Moderate air quality,pm25,2018-12-07 08:58:00
Pasadena,City,Los Angeles,california,34.1478,-118.145,55.69,1,1018,0,2018-12-07 17:10:00,1.5,2.53,54,Moderate air quality,pm25,2018-12-07 08:58:00
Paso Robles,City,San Luis Obispo,california,35.6369,-120.655,49.19,1,1021,0,2018-12-07 16:56:00,2.1,2.32,29,Good air quality,pm25,2018-12-07 08:58:00
Patterson,City,Stanislaus,california,37.4716,-121.13,46.18,90,1022,0,2018-12-07 17:02:00,1.66,1.93,61,Moderate air quality,pm25,2018-12-07 08:58:00
Perris,City,Riverside,california,33.7825,-117.229,57.76,1,1019,0.25,2018-12-07 17:15:00,5.1,2.55,54,Moderate air quality,pm25,2018-12-07 08:58:00
Petaluma,City,Sonoma,california,38.2324,-122.637,43.29,1,1022,0,2018-12-07 16:58:00,1.51,1.79,57,Moderate air quality,pm25,2018-12-07 08:58:00
Pico Rivera,City,Los Angeles,california,33.9831,-118.097,58.78,1,1018,0,2018-12-07 16:58:00,3.6,2.55,54,Moderate air quality,pm25,2018-12-07 08:58:00
Piedmont,City,Alameda,california,37.8244,-122.232,46.89,75,1021,0,2018-12-07 17:00:00,2.6,1.84,47,Good air quality,pm10,2018-12-07 08:58:00
Pinole,City,Contra Costa,california,38.0044,-122.299,46.92,1,1022,0,2018-12-07 17:00:00,1.86,1.79,59,Moderate air quality,pm25,2018-12-07 08:58:00
Pismo Beach,City,San Luis Obispo,california,35.1428,-120.641,50.54,1,1020,0,2018-12-07 16:56:00,1.76,2.39,44,Good air quality,pm25,2018-12-07 08:58:00
Pittsburg,City,Contra Costa,california,38.028,-121.885,46.6,1,1022,0,2018-12-07 17:02:00,1.76,1.77,59,Moderate air quality,pm25,2018-12-07 08:58:00
Placentia,City,Orange,california,33.8711,-117.863,58.93,1,1018,0,2018-12-07 16:58:00,3.1,2.54,47,Good air quality,pm25,2018-12-07 08:58:00
Placerville,City,El Dorado,california,38.7296,-120.799,44.96,1,1022,0,2018-12-07 17:15:00,1.26,1.76,48,Good air quality,pm25,2018-12-07 08:58:00
Pleasant Hill,City,Contra Costa,california,37.948,-122.061,47.44,1,1022,0,2018-12-07 17:00:00,1.76,1.84,59,Moderate air quality,pm25,2018-12-07 08:58:00
Pleasanton,City,Alameda,california,37.6624,-121.875,47.93,1,1021,0,2018-12-07 17:02:00,1.76,1.88,58,Moderate air quality,pm25,2018-12-07 08:58:00
Plymouth,City,Amador,california,38.4819,-120.845,45.61,1,1021,0,2018-12-07 17:15:00,3.1,1.77,51,Moderate air quality,pm25,2018-12-07 08:58:00
Point Arena,City,Mendocino,california,38.9088,-123.693,39.02,90,1023,0,2018-12-07 17:13:00,1.81,1.68,56,Moderate air quality,pm25,2018-12-07 08:58:00
Pomona,City,Los Angeles,california,34.0551,-117.75,58.51,1,1019,0,2018-12-07 16:58:00,4.1,2.56,54,Moderate air quality,pm25,2018-12-07 08:58:00
Port Hueneme,City,Ventura,california,34.1478,-119.195,59.22,20,1019,0,2018-12-07 16:57:00,6.2,2.52,54,Moderate air quality,pm25,2018-12-07 08:58:00
Porterville,City,Tulare,california,36.0652,-119.017,48.43,90,1022,0.25,2018-12-07 17:09:00,0.51,2.2,83,Moderate air quality,pm25,2018-12-07 08:58:00
Portola,City,Plumas,california,39.8105,-120.469,31.17,90,1024,0,2018-12-07 17:15:00,1.21,1.72,53,Moderate air quality,pm25,2018-12-07 08:58:00
Portola Valley,Town,San Mateo,california,37.3841,-122.235,48.87,1,1021,0,2018-12-07 17:00:00,1.86,1.94,52,Moderate air quality,pm25,2018-12-07 08:58:00
Poway,City,San Diego,california,32.9628,-117.036,59.34,40,1018,0.25,2018-12-07 17:15:00,1.86,2.7,24,Good air quality,no2,2018-12-07 08:58:00
Rancho Cordova,City,Sacramento,california,38.5891,-121.303,44.06,75,1022,0,2018-12-07 16:58:00,1.16,1.71,61,Moderate air quality,pm25,2018-12-07 08:58:00
Rancho Cucamonga,City,San Bernardino,california,34.1064,-117.593,59.43,1,1019,0,2018-12-07 16:58:00,4.1,2.56,45,Good air quality,no2,2018-12-07 08:58:00
Rancho Palos Verdes,City,Los Angeles,california,33.7445,-118.387,58.24,20,1018,0,2018-12-07 16:58:00,2.61,2.61,27,Good air quality,pm25,2018-12-07 08:58:00
Rancho Santa Margarita,City,Orange,california,33.6402,-117.603,59.07,1,1019,0.25,2018-12-07 17:15:00,2.6,2.61,27,Good air quality,pm25,2018-12-07 08:58:00
Red Bluff,City,Tehama,california,40.1785,-122.236,40.91,1,1022,0,2018-12-07 16:54:00,3.6,1.52,42,Good air quality,pm25,2018-12-07 08:58:00
Redding,City,Shasta,california,40.5865,-122.392,37.94,1,1022,0,2018-12-07 16:55:00,1.5,1.46,104,Unhealthy for sensitive groups air quality,pm25,2018-12-07 08:58:00
Redlands,City,San Bernardino,california,34.0556,-117.183,57.04,1,1019,0.25,2018-12-07 16:58:00,5.1,2.57,59,Moderate air quality,pm25,2018-12-07 08:58:00
Redondo Beach,City,Los Angeles,california,33.8492,-118.388,58.23,1,1018,0,2018-12-07 16:58:00,3.1,2.56,56,Moderate air quality,pm25,2018-12-07 08:58:00
Redwood City,City,San Mateo,california,37.4852,-122.236,48.7,1,1021,0,2018-12-07 17:00:00,1.86,1.94,67,Moderate air quality,pm25,2018-12-07 08:58:00
Reedley,City,Fresno,california,36.5963,-119.45,50.43,90,1022,0,2018-12-07 17:09:00,1.46,2.1,63,Moderate air quality,pm25,2018-12-07 08:58:00
Rialto,City,San Bernardino,california,34.1064,-117.37,58.44,1,1019,0.25,2018-12-07 16:58:00,5.1,2.53,50,Good air quality,pm25,2018-12-07 08:58:00
Richmond,City,Contra Costa,california,37.9358,-122.348,47.53,1,1022,0,2018-12-07 17:00:00,1.86,1.83,65,Moderate air quality,pm25,2018-12-07 08:58:00
Ridgecrest,City,Kern,california,35.6225,-117.671,42.98,40,1022,0,2018-12-07 16:56:00,1.5,2.3,39,Good air quality,pm25,2018-12-07 08:58:00
Rio Dell,City,Humboldt,california,40.4993,-124.106,43.23,1,1021,0,2018-12-07 16:55:00,4.1,1.48,27,Good air quality,pm25,2018-12-07 08:58:00
Rio Vista,City,Solano,california,38.1558,-121.691,45.5,1,1022,0,2018-12-07 17:15:00,2.21,1.77,33,Good air quality,pm25,2018-12-07 08:58:00
Ripon,City,San Joaquin,california,37.7395,-121.135,45.54,90,1022,0,2018-12-07 17:02:00,1.96,1.87,61,Moderate air quality,pm25,2018-12-07 08:58:00
Riverbank,City,Stanislaus,california,37.736,-120.935,46.02,90,1022,0,2018-12-07 17:02:00,1.96,1.87,63,Moderate air quality,pm25,2018-12-07 08:58:00
Riverside,City,Riverside,california,33.9806,-117.375,58.78,1,1019,0.25,2018-12-07 16:58:00,5.1,2.55,55,Moderate air quality,pm25,2018-12-07 08:58:00
Rocklin,City,Placer,california,38.7907,-121.236,45.86,1,1022,0,2018-12-07 17:15:00,1.66,1.71,63,Moderate air quality,pm25,2018-12-07 08:58:00
Rohnert Park,City,Sonoma,california,38.3396,-122.701,44.83,1,1022,0,2018-12-07 16:58:00,1.51,1.76,41,Good air quality,pm25,2018-12-07 08:58:00
Rolling Hills,City,Los Angeles,california,33.757,-118.354,58.35,20,1018,0,2018-12-07 16:58:00,2.61,2.56,27,Good air quality,pm25,2018-12-07 08:58:00
Rolling Hills Estates,City,Los Angeles,california,33.7878,-118.358,58.23,20,1018,0,2018-12-07 16:58:00,2.61,2.56,47,Good air quality,pm25,2018-12-07 08:58:00
Rosemead,City,Los Angeles,california,34.0806,-118.073,58.8,1,1018,0,2018-12-07 16:58:00,3.6,2.53,53,Moderate air quality,pm25,2018-12-07 08:58:00
